iter	Passed	Remaining
190	72288	306184
191	72825	306475
192	73270	306370
193	73720	306282
194	74170	306192
195	74582	305940
196	74989	305665
197	75326	305109
198	75705	304723
199	76113	304453
200	76457	303926
201	76979	304106
202	77462	304126
203	77991	304318
204	78401	304044
205	78769	303605
206	79174	303311
207	79664	303338
208	80263	303772
209	80451	302652
210	80822	302221
211	81230	301933
212	81855	302441
213	82258	302127
214	82790	302281
215	83433	302832
216	83812	302420
217	84192	302010
218	84599	301698
219	85075	301630
220	85454	301216
221	85776	300605
222	86228	300445
223	86737	300481
224	87100	300013
225	87510	299705
226	87621	298376
227	88020	298035
228	88591	298270
229	89021	298028
230	89479	297876
231	89874	297516
232	90200	296924
233	90576	296503
234	90969	296135
235	91151	295082
236	91647	295049
237	92029	294648
238	92422	294283
239	92826	293951
240	93199	293519
241	93610	293209
242	94054	292999
243	94508	292821
244	94893	292426
245	95317	292152
246	95716	291799
247	96085	291354
248	96510	291081
249	96891	290673
250	97317	290400
251	97723	290067
252	98146	289785
253	98548	289437
254	99054	289393
255	99470	289086
256	99873	288738
257	100286	288420
258	100722	288166
259	101133	287840
260	101537	287494
261	101976	287247
262	102313	286712
263	102773	286518
264	103239	286344
265	103835	286523
266	104191	286039
267	104656	285852
268	105174	285808
269	105600	285512
270	106046	285268
271	106507	285064
272	106993	284924
273	107461	284734
274	107857	284350
275	108249	283959
276	108642	283567
277	109026	283154
278	109404	282727
279	109883	282558
280	110275	282164
281	110679	281799
282	111106	281496
283	111535	281196
284	111992	280963
285	112439	280705
286	113015	280766
287	113371	280280
288	113793	279956
289	114173	279529
290	114580	279167
291	115024	278894
292	115460	278603
293	115863	278230
294	116318	277982
295	116782	277753
296	117272	277584
297	117722	277319
298	118199	277116
299	118567	276658
300	119027	276413
301	119485	276162
302	119855	275707
303	120344	275525
304	120866	275417
305	121340	275196
306	121772	274879
307	122071	274265
308	122420	273761
309	122997	273768
310	123377	273334
311	123770	272929
312	124169	272538
313	124729	272498
314	125102	272048
315	125512	271678
316	125931	271329
317	126402	271089
318	126819	270734
319	127230	270364
320	127646	270006
321	128001	269518
322	128411	269146
323	128832	268798
324	129167	268270
325	129611	267969
326	130154	267871
327	130530	267428
328	131020	267219
329	131444	266871
330	131839	266467
331	132264	266122
332	132650	265699
333	132984	265173
334	133426	264860
335	133873	264559
336	134325	264265
337	134757	263933
338	135160	263542
339	135577	263180
340	136069	262961
341	136515	262652
342	136931	262284
343	137323	261873
344	137770	261563
345	138194	261211
346	138662	260940
347	139163	260732
348	139606	260412
349	140003	260007
350	140451	259694
351	140823	259242
352	141273	258934
353	141671	258530
354	142255	258464
355	142616	257992
356	142936	257445
357	143285	256952
358	143766	256697
359	144207	256368
360	144597	255948
361	145114	255754
362	145599	255501
363	146065	255213
364	146421	254732
365	146845	254371
366	147239	253957
367	147631	253541
368	148058	253183
369	148429	252730
370	148941	252518
371	149414	252237
372	149807	251821
373	150261	251507
374	150639	251065
375	150982	250566
376	151367	250136
377	151778	249751
378	152194	249373
379	152586	248957
380	152969	248525
381	153379	248137
382	153828	247811
383	154244	247434
384	154697	247114
385	155152	246797
386	155763	246725
387	156205	246385
388	156596	245964
389	157088	245701
390	157532	245364
391	157923	244942
392	158493	244797
393	158880	244368
394	159312	244009
395	159788	243717
396	160203	243332
397	160643	242982
398	161053	242589
399	161440	242160
400	161847	241761
401	162270	241387
402	162635	240926
403	163044	240531
404	163494	240195
405	164070	240044
406	164595	239816
407	165049	239483
408	165625	239326
409	166096	239016
410	166643	238814
411	167119	238510
412	167633	238258
413	168027	237835
414	168360	237327
415	168858	237051
416	169190	236542
417	169607	236152
418	169966	235682
419	170499	235451
420	170856	234978
421	171212	234504
422	171612	234090
423	172024	233693
424	172465	233335
425	172986	233084
426	173506	232831
427	173971	232504
428	174333	232038
429	174716	231601
430	175100	231165
431	175479	230722
432	175872	230299
433	176299	229920
434	176770	229599
435	177196	229217
436	177646	228867
437	178223	228678
438	178594	228227
439	179036	227865
440	179449	227466
441	180231	227531
442	180939	227502
443	181337	227080
444	181774	226707
445	182163	226275
446	182628	225936
447	183088	225591
448	183582	225287
449	184025	224920
450	184460	224543
451	184988	224277
452	185487	223977
453	186030	223728
454	186541	223439
455	187122	223233
456	187517	222804
457	188030	222516
458	188474	222145
459	188949	221809
460	189369	221410
461	189775	220994
462	190143	220533
463	190596	220171
464	191073	219837
465	191508	219454
466	191985	219117
467	192403	218714
468	192842	218335
469	193191	217853
470	193524	217355
471	193965	216977
472	194353	216541
473	194859	216236
474	195234	215785
475	195707	215442
476	196237	215161
477	196751	214862
478	197143	214429
479	197511	213970
480	197828	213457
481	198342	213156
482	198742	212732
483	199146	212312
484	199686	212037
485	200083	211610
486	200562	211269
487	201013	210899
488	201387	210447
489	201861	210100
490	202319	209736
491	203023	209626
492	203378	209153
493	203789	208739
494	204134	208257
495	204575	207875
496	204974	207449
497	205418	207068
498	205742	206567
499	206161	206161
500	206664	205839
501	207232	205581
502	207590	205113
503	208100	204797
504	208511	204382
505	208842	203889
506	209337	203556
507	209707	203102
508	210136	202705
509	210554	202297
510	210979	201895
511	211401	201492
512	211792	201058
513	212273	200710
514	212767	200373
515	213167	199948
516	213550	199506
517	213987	199115
518	214488	198783
519	214846	198319
520	215358	197997
521	215776	197588
522	216257	197236
523	216600	196759
524	217032	196362
525	217569	196060
526	218004	195666
527	218473	195302
528	218954	194948
529	219340	194509
530	219819	194153
531	220214	193722
532	220577	193263
533	221032	192885
534	221350	192388
535	221728	191944
536	222113	191505
537	222636	191186
538	223056	190777
539	223522	190407
540	223983	190034
541	224426	189644
542	225059	189414
543	225571	189081
544	225989	188670
545	226384	188239
546	226833	187853
547	227260	187448
548	227669	187029
549	228124	186647
550	228559	186249
551	228943	185809
552	229280	185331
553	229852	185043
554	230295	184651
555	230761	184277
556	231136	183830
557	231460	183343
558	231805	182873
559	232217	182456
560	232564	181988
561	232922	181530
562	233366	181138
563	233677	180644
564	234038	180188
565	234471	179788
566	234946	179421
567	235243	178917
568	235820	178626
569	236318	178275
570	236722	177852
571	237166	177460
572	237722	177150
573	238220	176798
574	238628	176377
575	239013	175940
576	239417	175517
577	239765	175053
578	240130	174602
579	240590	174220
580	240891	173723
581	241332	173327
582	241770	172929
583	242222	172542
584	242719	172185
585	243106	171750
586	243620	171405
587	243947	170929
588	244299	170470
589	244682	170033
590	245102	169622
591	245615	169275
592	246033	168862
593	246596	168548
594	246962	168100
595	247348	167665
596	247730	167228
597	248137	166808
598	248494	166354
599	248969	165979
600	249434	165598
601	250016	165293
602	250459	164896
603	251023	164578
604	251490	164196
605	251821	163725
606	252244	163314
607	252683	162914
608	253111	162506
609	253560	162112
610	254097	161773
611	254447	161316
612	254938	160948
613	255316	160508
614	255754	160106
615	256260	159746
616	256647	159312
617	257081	158908
618	257518	158504
619	257959	158104
620	258379	157690
621	258766	157256
622	259162	156828
623	259495	156362
624	260130	156078
625	260607	155698
626	261048	155296
627	261610	154966
628	262159	154628
629	262519	154178
630	263093	153853
631	263510	153436
632	264067	153100
633	264511	152699
634	264876	152252
635	265305	151841
636	265881	151515
637	266306	151101
638	266713	150678
639	267075	150229
640	267494	149813
641	267847	149360
642	268255	148938
643	268658	148512
644	269132	148127
645	269503	147684
646	269987	147304
647	270777	147088
648	271124	146632
649	271500	146192
650	272008	145823
651	272610	145503
652	273117	145132
653	273440	144664
654	273911	144273
655	274356	143870
656	274762	143445
657	275180	143026
658	275568	142593
659	275970	142166
660	276353	141730
661	276883	141369
662	277493	141048
663	277921	140635
664	278677	140386
665	279030	139934
666	279523	139552
667	279999	139161
668	280559	138811
669	281082	138443
670	281530	138037
671	282240	137760
672	282764	137390
673	283123	136940
674	283769	136629
675	284590	136401
676	285039	135993
677	285587	135633
678	286055	135233
679	286369	134762
680	287033	134454
681	287450	134031
682	288002	133670
683	288359	133218
684	288705	132762
685	289076	132317
686	289493	131894
687	289859	131448
688	290389	131075
689	290801	130649
690	291294	130260
691	291630	129801
692	291992	129352
693	292409	128929
694	292734	128466
695	293423	128162
696	293829	127733
697	294206	127292
698	294648	126880
699	294971	126416
700	295338	125971
701	295869	125597
702	296338	125195
703	296642	124724
704	297034	124290
705	297425	123857
706	297827	123427
707	298179	122977
708	298529	122527
709	298976	122117
710	299420	121705
711	299769	121254
712	300162	120822
713	300605	120410
714	300960	119963
715	301299	119509
716	301688	119076
717	302107	118654
718	302437	118198
719	302838	117770
720	303245	117344
721	303563	116884
722	303921	116440
723	304221	115973
724	304849	115632
725	305317	115230
726	305820	114840
727	306251	114423
728	306779	114043
729	307228	113632
730	307653	113213
731	308109	112805
732	308517	112379
733	308967	111969
734	309480	111581
735	310099	111231
736	310583	110832
737	310973	110399
738	311384	109974
739	311818	109557
740	312229	109132
741	312625	108702
742	313036	108277
743	313490	107867
744	313881	107435
745	314295	107012
746	314775	106610
747	315117	106162
748	315678	105788
749	316076	105358
750	316769	105027
751	317165	104597
752	317970	104301
753	318410	103884
754	318821	103458
755	319207	103024
756	319684	102620
757	320124	102203
758	320473	101757
759	320901	101337
760	321422	100946
761	321816	100515
762	322249	100095
763	322579	99645
764	323040	99234
765	323461	98811
766	323878	98388
767	324529	98034
768	325021	97633
769	325399	97197
770	325846	96781
771	326428	96406
772	326806	95970
773	327295	95566
774	327768	95158
775	328295	94765
776	328764	94355
777	329146	93920
778	329587	93503
779	329995	93075
780	330429	92655
781	331119	92306
782	331592	91897
783	332037	91479
784	332501	91067
785	332853	90624
786	333302	90207
787	333732	89786
788	334192	89372
789	334542	88929
790	335076	88534
791	335625	88144
792	336117	87737
793	336636	87339
794	337100	86925
795	337539	86504
796	337932	86073
797	338393	85658
798	339111	85308
799	339584	84896
800	340089	84491
801	340677	84107
802	341029	83664
803	341387	83223
804	341867	82812
805	342284	82386
806	342981	82026
807	343389	81597
808	343907	81194
809	344473	80802
810	344934	80385
811	345298	79946
812	345757	79528
813	346272	79123
814	346678	78693
815	347076	78262
816	347458	77827
817	347778	77378
818	348289	76972
819	348814	76569
820	349629	76228
821	350097	75811
822	350506	75382
823	350857	74940
824	351224	74502
825	351851	74118
826	352399	73718
827	352904	73308
828	353371	72890
829	353892	72483
830	354349	72063
831	354817	71645
832	355284	71227
833	355682	70795
834	356156	70378
835	356481	69931
836	357018	69526
837	357525	69115
838	358072	68712
839	358505	68286
840	358926	67858
841	359330	67427
842	359706	66991
843	360211	66579
844	360833	66188
845	361223	65754
846	361818	65358
847	362252	64932
848	362756	64518
849	363159	64087
850	363481	63641
851	363814	63197
852	364201	62763
853	364820	62369
854	365263	61945
855	365785	61533
856	366180	61101
857	366560	60666
858	367128	60262
859	367676	59854
860	368151	59434
861	368668	59021
862	369057	58587
863	369360	58140
864	369778	57711
865	370195	57281
866	370605	56851
867	371103	56435
868	371575	56014
869	372030	55590
870	372438	55160
871	373007	54753
872	373423	54323
873	374034	53922
874	374584	53512
875	374962	53076
876	375585	52676
877	375966	52241
878	376401	51814
879	376966	51404
880	377350	50970
881	377827	50548
882	378214	50114
883	378954	49727
884	379382	49298
885	379868	48877
886	380250	48442
887	380660	48011
888	381105	47584
889	381641	47169
890	382035	46736
891	382471	46308
892	382836	45871
893	383324	45450
894	383673	45011
895	384132	44586
896	384613	44164
897	385054	43736
898	385503	43310
899	385874	42874
900	386263	42441
901	386749	42019
902	387121	41584
903	387577	41158
904	387914	40720
905	388329	40290
906	388629	39848
907	389035	39417
908	389506	38993
909	390003	38571
910	390453	38145
911	390911	37719
912	391318	37288
913	391819	36867
914	392233	36436
915	392693	36011
916	393106	35581
917	393456	35145
918	393915	34719
919	394420	34297
920	394793	33863
921	395246	33437
922	395850	33023
923	396302	32596
924	396709	32165
925	397206	31742
926	397731	31320
927	398425	30912
928	398891	30485
929	399384	30061
930	400077	29651
931	400479	29219
932	400948	28792
933	401330	28359
934	401717	27926
935	402132	27496
936	402537	27064
937	402881	26629
938	403247	26196
939	403557	25758
940	404032	25332
941	404473	24903
942	404789	24467
943	405240	24039
944	405668	23610
945	406114	23181
946	406673	22759
947	407114	22331
948	407592	21904
949	408054	21476
950	408493	21047
951	408917	20617
952	409390	20190
953	409990	19768
954	410412	19338
955	410736	18904
956	411239	18477
957	411638	18046
958	412090	17618
959	412686	17195
960	413111	16765
961	413549	16335
962	413960	15905
963	414386	15475
964	414934	15049
965	415493	14624
966	416056	14198
967	416529	13769
968	417057	13342
969	417620	12916
970	417971	12483
971	418371	12051
972	418710	11618
973	419233	11191
974	419719	10762
975	420156	10331
976	420565	9900
977	421025	9470
978	421486	9041
979	421862	8609
980	422260	8178
981	422689	7747
982	423027	7315
983	423578	6887
984	424191	6459
985	424557	6028
986	424932	5596
987	425371	5166
988	425762	4735
989	426115	4304
990	426479	3873
991	427097	3444
992	427568	3014
993	428089	2584
994	428514	2153
995	428824	1722
996	429508	1292
997	429976	861
998	430348	430
999	430839	0
