iter	Accuracy	MultiClass
452	0.9752674507	0.07719291975
453	0.9752832879	0.07714334615
454	0.9753100922	0.07711423712
455	0.9753824522	0.07709832733
456	0.9753521172	0.07704475159
457	0.9753632358	0.07700726604
458	0.9753696972	0.07697890569
459	0.9753947586	0.07691570042
460	0.9754152079	0.07688971095
461	0.9754192035	0.07684565144
462	0.9754513879	0.07680358578
463	0.9755551642	0.07676835832
464	0.9755651565	0.07674063275
465	0.9755674092	0.07670462268
466	0.9755902179	0.07666529286
467	0.9756730349	0.07662213493
468	0.9756578141	0.07659725053
469	0.9756974798	0.07656414693
470	0.9757523663	0.07650640349
471	0.9757756848	0.07647639692
472	0.9757575948	0.07642107299
473	0.9757388205	0.07634695745
474	0.975793707	0.07629372145
475	0.9758076948	0.07627408598
476	0.975811797	0.07622901609
477	0.9758606868	0.07619159127
478	0.9758373683	0.07613319953
479	0.9758472089	0.07610228702
480	0.9759084503	0.07604956321
481	0.9759159315	0.07602596894
482	0.9759392501	0.07597891207
483	0.9759736872	0.07594051096
484	0.9759976222	0.07590317602
485	0.9759544709	0.07585571123
486	0.9759952629	0.07582257504
487	0.9759923937	0.07580042514
488	0.9759731773	0.07575157305
489	0.9759849124	0.07572068963
490	0.9759995167	0.07569226785
491	0.9760210924	0.07567942848
492	0.9760397989	0.07563266183
493	0.9760485131	0.07555814941
494	0.9761219544	0.07549703625
495	0.9760885371	0.07546348506
496	0.9761941627	0.07542947608
497	0.9761702277	0.0753987569
498	0.9761386598	0.0753435135
499	0.9761433557	0.07530606757
500	0.9761603193	0.07528263821
501	0.9761352579	0.07525885926
502	0.9761655929	0.07521469453
503	0.9762121235	0.07518209686
504	0.9762092542	0.07512885262
505	0.9762517891	0.07508739022
506	0.9762710055	0.07505549611
507	0.9762727484	0.07500403326
508	0.9762989361	0.07495028252
509	0.9762971933	0.07492018588
510	0.9762738748	0.07489919476
511	0.9763239975	0.07484034177
512	0.9762673682	0.07480999583
513	0.9763029317	0.07477917324
514	0.9763041647	0.07474886343
515	0.9763671489	0.07470254619
516	0.976365916	0.07467014613
517	0.9763927202	0.07462411027
518	0.9763746302	0.07460325954
519	0.9763635115	0.07455857052
520	0.9764644186	0.07452910636
521	0.9764480715	0.07449433595
522	0.9764463286	0.07445360024
523	0.9765267864	0.07441562731
524	0.9765478522	0.07438976187
525	0.9765291457	0.07436817419
526	0.9765751663	0.07432813585
527	0.9766065826	0.07430843343
528	0.9766234397	0.07428298318
529	0.976642656	0.07425784534
530	0.9767056403	0.07422169255
531	0.9767263864	0.0741669787
532	0.9768004893	0.07409630954
533	0.9768120727	0.07407322633
534	0.9768125827	0.07404149824
535	0.976856967	0.07400772132
536	0.9769007348	0.07396925253
537	0.9769176984	0.07394238578
538	0.9769398906	0.07391642598
539	0.9768593263	0.07385481408
540	0.9769257962	0.07381983825
541	0.9769345104	0.073802706
542	0.9769402488	0.07378852801
543	0.9769926243	0.07376712983
544	0.9770222978	0.07372534612
545	0.97699611	0.07369003648
546	0.9770527393	0.07366152823
547	0.9770346493	0.07364222397
548	0.9770829227	0.07361651048
549	0.9770590942	0.07360331493
550	0.9770706777	0.07357980179
551	0.9771347883	0.07355359695
552	0.9771540047	0.07351957605
553	0.9771370411	0.07349217913
554	0.9771546211	0.07346554334
555	0.9771534948	0.07343852683
556	0.9771249477	0.0733943939
557	0.9771812123	0.07336063818
558	0.9771526652	0.07333114518
559	0.9771445675	0.07329655275
560	0.9772018133	0.07326755505
561	0.9772292339	0.07323244985
562	0.9772115473	0.07319639801
563	0.9772721722	0.07316348654
564	0.9773637035	0.07309688821
565	0.9773847693	0.07307209224
566	0.9773988637	0.07303354237
567	0.9773906143	0.07298752399
568	0.9773742671	0.07297328361
569	0.9774081943	0.07295042591
570	0.9774075779	0.07291598069
571	0.9774081943	0.0728888609
572	0.977383133	0.07285342342
573	0.9774075779	0.07282631298
574	0.97739359	0.07279352543
575	0.9774535985	0.07274151611
576	0.9775433869	0.07270532145
577	0.9775725505	0.0726424515
578	0.9775912569	0.07261260307
579	0.9775906405	0.07258155873
580	0.9775860284	0.07255654297
581	0.9776168282	0.07251587057
582	0.9776385104	0.07247812993
583	0.9776531148	0.07244518844
584	0.9776793025	0.0724195308
585	0.9776793025	0.07240484243
586	0.9776868903	0.07237527986
587	0.9776972409	0.07230363138
588	0.9777030858	0.07225114006
589	0.9776989837	0.07223243931
590	0.9776820201	0.07221181379
591	0.9777257879	0.07218770344
592	0.977695498	0.07215512196
593	0.9777188166	0.07212956151
594	0.9777864128	0.07209325209
595	0.9778185972	0.07205115941
596	0.9778254621	0.07201909167
597	0.9778931649	0.07197688602
598	0.9778949077	0.07194576563
599	0.9778966506	0.07192958223
600	0.9779164834	0.07191213259
601	0.9779415448	0.07189308991
602	0.9779193527	0.07186262683
603	0.9779439041	0.07184747905
604	0.9779064912	0.07179911235
605	0.9779145889	0.07174773937
606	0.9779494909	0.07172895873
607	0.9779307844	0.07170796158
608	0.9780036093	0.07166663557
609	0.9780047356	0.07163892257
610	0.9780316464	0.07159822665
611	0.9780053521	0.07157791763
612	0.9780643407	0.07156094215
613	0.9780566012	0.07151377326
614	0.9780419969	0.07149586467
615	0.9780805362	0.0714786869
616	0.9781026218	0.07144381166
617	0.9781258338	0.07141178962
618	0.9781310624	0.07138330572
619	0.9781532545	0.07136418651
620	0.9781502787	0.07133999276
621	0.9781520216	0.07129111931
622	0.9781671358	0.07125946029
